speed,steering_angle,pose,velocity,torque,noisy_speed,cones_hit,time
0.0,0.0,[-2.  0.  0.],[0. 0. 0.],0.0,0.025802689007359467,0,0.0
5.0,-7.911765669583625,[-1.99624728  0.          0.        ],[0.33774496 0.         0.        ],116.4,0.13336225312980654,0,0.011111111111111112
5.0,-7.911765669583625,[-1.99392610e+00 -1.68173210e-06 -2.09166757e-06],[ 2.08906418e-01 -1.51355889e-04 -1.88250081e-04],-44.40273559616179,0.2744635748293096,0,0.022222222222222223
5.0,-7.911765669583625,[-1.99399584e+00 -1.53797884e-06 -1.91305476e-06],[-6.27703758e-03  1.29377934e-05  1.60751527e-05],-74.16057934191988,0.3881557874118148,0,0.03333333333333333
5.0,-3.6109340902099425,[-1.99572897e+00  5.22265701e-06  6.49141567e-06],[-0.1559812   0.00060846  0.0007564 ],-51.59425772254383,-0.06409017395599727,0,0.044444444444444446
5.0,-3.6109340902099425,[-1.99370941e+00 -6.38728483e-06 -7.96484645e-06],[ 0.18175958 -0.00104489 -0.00130106],116.4,0.4436755971451565,0,0.05555555555555555
5.0,-3.6109340902099425,[-1.99544250e+00  6.80581264e-06  8.42700407e-06],[-0.15597786  0.00118738  0.00147527],-116.4,-0.12185156111194849,0,0.06666666666666667
5.0,-3.2041262176389345,[-1.99342301e+00 -1.22142693e-05 -1.52505395e-05],[ 0.18175452 -0.00171181 -0.00213098],116.4,0.10191368228902534,0,0.07777777777777778
5.0,-3.2041262176389345,[-1.99515604e+00  7.16606400e-06  8.82103085e-06],[-0.15597263  0.00174423  0.00216644],-116.4,-0.3613816991293964,0,0.08888888888888889
5.0,-3.2041262176389345,[-1.99313662e+00 -1.87042391e-05 -2.33775183e-05],[ 0.18174767 -0.00232833 -0.00289787],116.4,0.20879204292416603,0,0.1
5.0,-3.7109686987071457,[-1.99486958e+00  6.25042275e-06  7.60965188e-06],[-0.15596621  0.00224592  0.00278885],-116.4,-0.31818842538361,0,0.1111111111111111
5.0,-3.7109686987071457,[-1.99285025e+00 -2.58041434e-05 -3.22775798e-05],[ 0.18173968 -0.00288491 -0.00358985],116.4,0.46881920970542523,0,0.12222222222222222
5.0,-3.7109686987071457,[-1.99458312e+00  4.27312992e-06  5.06169902e-06],[-0.15595889  0.00270695  0.00336054],-116.4,-0.15636802828798008,0,0.13333333333333333
5.0,-3.735687443814311,[-1.99256389e+00 -3.34732674e-05 -4.18983925e-05],[ 0.18173083 -0.00339718 -0.00422641],116.4,-0.1309022016373357,0,0.14444444444444443
5.0,-3.735687443814311,[-1.98960708e+00 -9.27336549e-05 -1.15449883e-04],[ 0.26611317 -0.00533343 -0.00661963],29.08889878437311,0.1479422565430702,0,0.15555555555555556
