speed,steering_angle,pose,velocity,torque,noisy_speed,cones_hit,time
0.0,0.0,[-2.  0.  0.],[0. 0. 0.],0.0,-0.09504568237107668,0,0.0
5.0,1.1983159276831188,[-1.99624728  0.          0.        ],[0.33774496 0.         0.        ],116.4,0.3913032657259351,0,0.011111111111111112
5.0,1.1983159276831188,[-1.99342582e+00  3.09612905e-07  3.85083494e-07],[2.53931382e-01 2.78651615e-05 3.46575144e-05],-28.885407041628902,0.39246683621418865,0,0.022222222222222223
5.0,1.1983159276831188,[-1.98918594e+00  1.63349673e-06  2.02964375e-06],[3.81589293e-01 1.19149544e-04 1.48010423e-04],43.99586781412274,0.12357010999561785,0,0.03333333333333333
5.0,0.42188666375982203,[-1.98213042e+00  5.81424601e-06  7.21167280e-06],[6.34996908e-01 3.76267435e-04 4.66382614e-04],87.33411396033684,0.4739273540516981,0,0.044444444444444446
5.0,0.42188666375982203,[-1.97532903e+00  1.17139067e-05  1.44884169e-05],[6.12124315e-01 5.30969466e-04 6.54906968e-04],-7.88274053619363,0.8095175401466687,0,0.05555555555555555
5.0,0.42188666375982203,[-1.96879787e+00  1.91179728e-05  2.35795903e-05],[0.58780461 0.00066637 0.00081821],-8.381460847022439,0.6422013307344886,0,0.06666666666666667
5.0,0.7529789604329699,[-1.96005192e+00  3.12711795e-05  3.84387419e-05],[0.78713564 0.00109379 0.00133732],68.69732476399594,0.7537679905300484,0,0.07777777777777778
5.0,0.7529789604329699,[-1.95045216e+00  4.72877957e-05  5.79005847e-05],[0.86397838 0.0014415  0.00175157],26.483138527732674,1.1958641161690173,0,0.08888888888888889
5.0,0.7529789604329699,[-1.94170946e+00  6.44543675e-05  7.86220441e-05],[0.78684315 0.00154499 0.00186493],-26.583679361147013,0.5586840558402727,0,0.1
5.0,0.4633086279602498,[-1.92921405e+00  9.27772439e-05  1.12626959e-04],[1.12458674 0.00254906 0.00306044],116.4,1.3104257163517468,0,0.1111111111111111
