speed,steering_angle,pose,velocity,torque,noisy_speed,cones_hit,time
0.0,0.0,[-2.  0.  0.],[0. 0. 0.],0.0,0.26613254550790333,0,0.0
5.0,0.2843126816791076,[-1.99624728  0.          0.        ],[0.33774496 0.         0.        ],116.4,0.25404075445903584,0,0.011111111111111112
5.0,0.2843126816791076,[-1.99179588e+00  1.15895497e-07  1.44145939e-07],[4.00625870e-01 1.04305947e-05 1.29731345e-05],21.671196505655075,0.5302767395995114,0,0.022222222222222223
5.0,0.2843126816791076,[-1.99095960e+00  1.77894321e-07  2.21107534e-07],[7.52654393e-02 5.57989417e-06 6.92654361e-06],-112.13181000615218,-0.23366642328910248,0,0.03333333333333333
5.0,0.04278381433065762,[-1.98637059e+00  8.21860312e-07  1.02078332e-06],[4.13010399e-01 5.79569392e-05 7.19708208e-05],116.4,0.25097760958068027,0,0.044444444444444446
5.0,0.04278381433065762,[-1.98553431e+00  9.89004472e-07  1.22760844e-06],[7.52654380e-02 1.50429744e-05 1.86142605e-05],-116.4,-0.012976968468157768,0,0.05555555555555555
5.0,0.04278381433065762,[-1.98094531e+00  2.14472024e-06  2.65803233e-06],[4.13010390e-01 1.04014419e-04 1.28738150e-04],116.4,0.49927915693343783,0,0.06666666666666667
5.0,0.6764330669360663,[-1.98010902e+00  2.39436034e-06  2.96575947e-06],[7.52654362e-02 2.24676088e-05 2.76954421e-05],-116.4,0.023745292928828078,0,0.07777777777777778
5.0,0.6764330669360663,[-1.97552002e+00  4.21155326e-06  5.20898010e-06],[4.13010371e-01 1.63547363e-04 2.01889857e-04],116.4,0.21691946161420622,0,0.08888888888888889
5.0,0.6764330669360663,[-1.97327725e+00  5.41952794e-06  6.69687789e-06],[2.01849240e-01 1.08717721e-04 1.33910801e-04],-72.77430780822985,-0.1817885291820582,0,0.1
5.0,-0.40542797853432805,[-1.96728176e+00  9.71075282e-06  1.19841845e-05],[5.39594096e-01 3.86210239e-04 4.75857593e-04],116.4,0.629763392759728,0,0.1111111111111111
5.0,-0.40542797853432805,[-1.96503899e+00  1.15625980e-05  1.42540021e-05],[2.01849201e-01 1.66666068e-04 2.04283589e-04],-116.4,0.29343661390667714,0,0.12222222222222222
5.0,-0.40542797853432805,[-1.95904350e+00  1.67838683e-05  2.06417070e-05],[5.39594029e-01 4.69914323e-04 5.74893440e-04],116.4,0.4936444880871519,0,0.13333333333333333
5.0,0.9389604142801578,[-1.95552853e+00  1.98311942e-05  2.43416019e-05],[3.16347264e-01 2.74259334e-04 3.32990536e-04],-76.93951420837783,0.45889874477191717,0,0.14444444444444443
5.0,0.9389604142801578,[-1.95099881e+00  2.40809383e-05  2.94901170e-05],[4.07674898e-01 3.82476967e-04 4.63366363e-04],31.47506199468541,0.12833678516639252,0,0.15555555555555556
5.0,0.9389604142801578,[-1.94271637e+00  3.29971682e-05  4.02759603e-05],[0.74541961 0.00080246 0.00097073],116.4,0.6423094100477261,0,0.16666666666666666
5.0,0.787220523243718,[-1.93818665e+00  3.87725203e-05  4.72321904e-05],[0.40767475 0.00051978 0.00062606],-116.4,0.08342481351890896,0,0.17777777777777778
5.0,0.787220523243718,[-1.92990422e+00  5.11970107e-05  6.21986932e-05],[0.7454192  0.0011182  0.00134699],116.4,0.6200661893552049,0,0.18888888888888888
5.0,0.787220523243718,[-1.92537450e+00  5.91545127e-05  7.17454798e-05],[0.40767445 0.00071618 0.00085921],-116.4,0.15261565855862114,0,0.2
5.0,1.117593431935128,[-1.91709207e+00  7.59285040e-05  9.18691894e-05],[0.74541851 0.00150966 0.00181113],116.4,0.6549422856214645,0,0.2111111111111111
5.0,1.117593431935128,[-1.91256236e+00  8.65570634e-05  1.04570966e-04],[0.40767396 0.00095657 0.00114316],-116.4,0.6088662455179786,0,0.2222222222222222
5.0,1.117593431935128,[-1.90686550e+00  1.01896490e-04  1.22908559e-04],[0.51271781 0.00138055 0.00165038],36.20243494821779,0.7254696028247103,0,0.23333333333333334
5.0,0.8207435507410729,[-1.90243092e+00  1.15503272e-04  1.39154193e-04],[0.39911206 0.00122461 0.00146211],-39.15293366781366,0.30392876049336176,0,0.24444444444444444
5.0,0.8207435507410729,[-1.89424364e+00  1.43594616e-04  1.72676019e-04],[0.73685457 0.00252822 0.00301696],116.4,0.6866036891813219,0,0.25555555555555554
5.0,0.8207435507410729,[-1.88980908e+00  1.60436668e-04  1.92671054e-04],[0.39911106 0.00151578 0.00179955],-116.4,0.2936802602811105,0,0.26666666666666666
