speed,steering_angle,pose,velocity,torque,noisy_speed,cones_hit,time
0.0,0.0,[-2.  0.  0.],[0. 0. 0.],0.0,0.1473072611303884,0,0.0
5.8204210821258915,0.5617302562950266,[-1.99624728  0.          0.        ],[0.33774496 0.         0.        ],116.4,0.2873244624964068,0,0.011111111111111112
5.8204210821258915,0.5617302562950266,[-1.99491577e+00  6.84927481e-08  8.51883959e-08],[1.19835484e-01 6.16434733e-06 7.66695563e-06],-75.10004939542478,-0.06399134570325629,0,0.022222222222222223
5.8204210821258915,0.5617302562950266,[-1.98983155e+00  8.12187407e-07  1.00962580e-06],[4.57580443e-01 6.69325193e-05 8.31993666e-05],116.4,0.5512072278975042,0,0.03333333333333333
5.0,0.12265072497375515,[-1.98850004e+00  1.18211375e-06  1.46805260e-06],[1.19835479e-01 3.32933706e-05 4.12584113e-05],-116.4,-0.18810030627333008,0,0.044444444444444446
5.0,0.12265072497375515,[-1.98341581e+00  3.20475303e-06  3.97444286e-06],[4.57580412e-01 1.82037536e-04 2.25575124e-04],116.4,0.3441264797247321,0,0.05555555555555555
5.0,0.12265072497375515,[-1.98208431e+00  3.88255762e-06  4.81088572e-06],[1.19835468e-01 6.10024132e-05 7.52798567e-05],-116.4,0.16669714696710622,0,0.06666666666666667
5.0,0.1474451378289473,[-1.97700008e+00  6.97442237e-06  8.62599504e-06],[4.57580363e-01 2.78267828e-04 3.43359839e-04],116.4,0.39645228790850645,0,0.07777777777777778
5.0,0.1474451378289473,[-1.97566858e+00  7.90966177e-06  9.77492116e-06],[1.19835454e-01 8.41715457e-05 1.03403351e-04],-116.4,0.047947610636580915,0,0.08888888888888889
5.0,0.1474451378289473,[-1.97058435e+00  1.19074289e-05  1.46853634e-05],[4.57580306e-01 3.59799044e-04 4.41939805e-04],116.4,-0.07704824500424601,0,0.1
5.0,0.47678006907175946,[-1.96174741e+00  1.95645013e-05  2.40475005e-05],[7.95325113e-01 6.89136512e-04 8.42592332e-04],116.4,0.5222890397921176,0,0.1111111111111111
5.0,0.47678006907175946,[-1.95666318e+00  2.45165888e-05  3.00546330e-05],[4.57580231e-01 4.45687880e-04 5.40641927e-04],-116.4,0.39537092491206294,0,0.12222222222222222
5.0,0.47678006907175946,[-1.94782624e+00  3.42071955e-05  4.17770704e-05],[0.79532493 0.00087215 0.00105502],116.4,1.0080178377772369,0,0.13333333333333333
5.0,0.11295915490316501,[-1.94274201e+00  4.05080528e-05  4.93496324e-05],[0.4575801  0.00056708 0.00068153],-116.4,0.6123327711531811,0,0.14444444444444443
5.0,0.11295915490316501,[-1.93390507e+00  5.24848137e-05  6.37034207e-05],[0.79532468 0.00107791 0.00129184],116.4,0.4009643381738082,0,0.15555555555555556
5.0,0.11295915490316501,[-1.92131542e+00  7.08358740e-05  8.55301975e-05],[1.13306917 0.0016516  0.00196441],116.4,0.7742064619681638,0,0.16666666666666666
5.0,0.13236895205209132,[-1.91247848e+00  8.45238992e-05  1.01614723e-04],[0.79532446 0.00123192 0.00144761],-116.4,0.6089047649452279,0,0.17777777777777778
5.0,0.13236895205209132,[-1.89988882e+00  1.04916128e-04  1.25386586e-04],[1.13306889 0.0018353  0.00213947],116.4,1.3219060950581678,0,0.18888888888888888
5.0,0.13236895205209132,[-1.89105189e+00  1.19806519e-04  1.42528502e-04],[0.79532428 0.00134014 0.00154277],-116.4,0.7269464695243217,0,0.2
5.0,0.6668165827427365,[-1.87846223e+00  1.41610225e-04  1.67415254e-04],[1.13306868 0.00196233 0.00223981],116.4,0.844975076686715,0,0.2111111111111111
5.0,0.6668165827427365,[-1.86801506e+00  1.60676723e-04  1.88954008e-04],[0.94024609 0.00171598 0.00193849],-66.45418080785794,0.5824547569883509,0,0.2222222222222222
5.0,0.6668165827427365,[-1.85381516e+00  1.88323610e-04  2.20002880e-04],[1.2779902  0.00248822 0.0027944 ],116.4,1.423702670832986,0,0.23333333333333334
5.0,-0.14218636221544065,[-1.84336799e+00  2.10311759e-04  2.44492151e-04],[0.94024557 0.00197893 0.00220403],-116.4,0.7759668906005337,0,0.24444444444444444
5.0,-0.14218636221544065,[-1.82916811e+00  2.41590472e-04  2.79077267e-04],[1.27798952 0.00281508 0.00311266],116.4,1.5125662185449282,0,0.25555555555555554
5.0,-0.14218636221544065,[-1.81872094e+00  2.65250389e-04  3.04878214e-04],[0.94024524 0.00212939 0.00232209],-116.4,1.043806725538833,0,0.26666666666666666
5.0,0.07383309097946969,[-1.80452106e+00  2.97600610e-04  3.39729535e-04],[1.2779893  0.00291152 0.00313662],116.4,0.9888744453830407,0,0.2777777777777778
5.0,0.07383309097946969,[-1.78812403e+00  3.35096910e-04  3.79437431e-04],[1.47573234 0.00337467 0.00357371],68.15010098259648,1.3835347960528226,0,0.28888888888888886
5.0,0.07383309097946969,[-1.77547972e+00  3.64034518e-04  4.09461597e-04],[1.13798826 0.00260438 0.00270217],-116.4,1.2261836724811492,0,0.3
5.0,0.06478641979052414,[-1.75908269e+00  4.01276030e-04  4.47430487e-04],[1.4757324  0.00335174 0.0034172 ],116.4,1.7933799616026835,0,0.3111111111111111
5.0,0.06478641979052414,[-1.74643838e+00  4.29769397e-04  4.75832833e-04],[1.13798835 0.0025644  0.00255621],-116.4,1.6397562368323861,0,0.32222222222222224
5.0,0.06478641979052414,[-1.73004135e+00  4.66164102e-04  5.11394926e-04],[1.47573257 0.00327552 0.00320059],116.4,1.3354656751724368,0,0.3333333333333333
5.0,0.647224872993437,[-1.70989160e+00  5.10252623e-04  5.53414092e-04],[1.81347683 0.00396797 0.00378172],116.4,1.6373763415807423,0,0.34444444444444444
5.0,0.647224872993437,[-1.69349458e+00  5.46537959e-04  5.87257968e-04],[1.47573259 0.00326568 0.00304595],-116.4,1.6193046403889524,0,0.35555555555555557
5.0,0.647224872993437,[-1.67595747e+00  5.86390330e-04  6.24015440e-04],[1.57833972 0.00358671 0.00330817],35.36255322746433,1.2604714586813632,0,0.36666666666666664
5.0,-0.11067574623822952,[-1.65466765e+00  6.36872166e-04  6.70279070e-04],[1.91608338 0.00454337 0.00416373],116.4,1.5958999944641548,0,0.37777777777777777
5.0,-0.11067574623822952,[-1.63713055e+00  6.79666619e-04  7.08884933e-04],[1.5783391  0.0038515  0.00347453],-116.4,1.6783704425040715,0,0.3888888888888889
5.0,-0.11067574623822952,[-1.62100361e+00  7.19466815e-04  7.44167908e-04],[1.45142483 0.00358202 0.00317547],-43.739669342987604,1.5304050237276032,0,0.4
5.0,-0.1254055896116756,[-1.60112396e+00  7.68444237e-04  7.86684042e-04],[1.78916879 0.00440797 0.00382645],116.4,1.8022420390594835,0,0.4111111111111111
5.0,-0.1254055896116756,[-1.58499701e+00  8.07816100e-04  8.19873775e-04],[1.45142493 0.00354347 0.00298708],-116.4,1.7801256004239612,0,0.4222222222222222
5.0,-0.1254055896116756,[-1.56765894e+00  8.49234210e-04  8.53707800e-04],[1.56042682 0.00372763 0.00304506],37.566319420860324,1.7735398544597594,0,0.43333333333333335
5.0,0.16315115781635786,[-1.54949997e+00  8.91365711e-04  8.86827876e-04],[1.63430682 0.00379184 0.00298081],25.46189121462502,1.5409173553732325,0,0.4444444444444444
5.0,0.16315115781635786,[-1.52758829e+00  9.40972986e-04  9.24358730e-04],[1.97205113 0.00446465 0.00337778],116.4,1.7831436038868613,0,0.45555555555555555
5.0,0.16315115781635786,[-1.50942932e+00  9.81367700e-04  9.53722981e-04],[1.63430718 0.00363552 0.00264278],-116.4,1.4650068328932775,0,0.4666666666666667
5.0,0.28716710779936444,[-1.48751764e+00  1.02931626e-03  9.87367706e-04],[1.97205146 0.00431537 0.00302803],116.4,1.7916404551988743,0,0.4777777777777778
5.0,0.28716710779936444,[-1.46935867e+00  1.06886880e-03  1.01426142e-03],[1.63430734 0.00355973 0.00242043],-116.4,1.7297810247619065,0,0.4888888888888889
5.0,0.28716710779936444,[-1.44897354e+00  1.11331574e-03  1.04382687e-03],[1.83466179 0.00400022 0.00266089],69.05006990653628,1.9617568880156537,0,0.5
5.0,0.2791713759487661,[-1.43234112e+00  1.14993810e-03  1.06778286e-03],[1.49691755 0.00329601 0.00215604],-116.4,1.7053377312391593,0,0.5111111111111111
5.0,0.2791713759487661,[-1.41195599e+00  1.19542317e-03  1.09728251e-03],[1.83466158 0.00409366 0.00265497],116.4,1.787280723923565,0,0.5222222222222223
5.0,0.2791713759487661,[-1.39298711e+00  1.23862919e-03  1.12513245e-03],[1.70719976 0.00388854 0.0025065 ],-43.928329962765375,1.9440266957822236,0,0.5333333333333333
5.0,0.7697067065485986,[-1.37735442e+00  1.27508662e-03  1.14860039e-03],[1.40694184 0.00328117 0.00211211],-103.48071860898818,1.5906683884989048,0,0.5444444444444444
5.0,0.7697067065485986,[-1.35796903e+00  1.32228920e-03  1.17961533e-03],[1.74468546 0.00424823 0.00279134],116.4,1.7328816193126786,0,0.5555555555555556
5.0,0.7697067065485986,[-1.34150971e+00  1.36491048e-03  1.20847746e-03],[1.48133867 0.00383592 0.00259759],-90.7595787302471,1.563141655966915,0,0.5666666666666667
5.0,-0.15242008321599296,[-1.32129769e+00  1.42106253e-03  1.24793724e-03],[1.81908158 0.00505368 0.00355138],116.4,1.6885810275954996,0,0.5777777777777777
5.0,-0.15242008321599296,[-1.30357859e+00  1.47283944e-03  1.28483277e-03],[1.59471857 0.00465992 0.0033206 ],-77.32425850604645,1.4586051335676637,0,0.5888888888888889
5.0,-0.15242008321599296,[-1.2821068   0.00153758  0.00133104],[1.93246156 0.00582653 0.00415868],116.4,2.1645106475658764,0,0.6
5.0,0.3369826920412758,[-1.26438771  0.00159207  0.00136948],[1.59471783 0.00490446 0.00345992],-116.4,1.5454979223550174,0,0.6111111111111112
5.0,0.3369826920412758,[-1.24291593  0.00165943  0.00141668],[1.93246083 0.00606195 0.00424802],116.4,1.876199942822314,0,0.6222222222222222
5.0,0.3369826920412758,[-1.22519685  0.00171638  0.0014563 ],[1.59471714 0.00512611 0.00356572],-116.4,1.8058493756292435,0,0.6333333333333333
5.0,0.4377646449412738,[-1.20504938  0.00178267  0.00150226],[1.81327218 0.00596614 0.00413607],75.32307993263146,1.6931718433987715,0,0.6444444444444445
5.0,0.4377646449412738,[-1.18138132  0.00186282  0.00155772],[2.13012529 0.00721318 0.00499141],109.20068338517459,1.9258537213461775,0,0.6555555555555556
5.0,0.4377646449412738,[-1.16146597  0.00193259  0.0016059 ],[1.79238154 0.00627875 0.00433662],-116.4,2.185722127463791,0,0.6666666666666666
5.0,-0.6936889479523054,[-1.14530332  0.00199112  0.00164642],[1.45463804 0.0052678  0.00364643],-116.4,1.5878489512065777,0,0.6777777777777778
5.0,-0.6936889479523054,[-1.12538798  0.00206351  0.00169568],[1.7923807  0.00651575 0.00443367],116.4,2.192067033339054,0,0.6888888888888889
5.0,-0.6936889479523054,[-1.10922534  0.0021213   0.00173347],[1.45463828 0.00520112 0.00340106],-116.4,1.7019052731535802,0,0.7
5.0,-0.6135244812208034,[-1.08930998  0.00218972  0.00177563],[1.79238196 0.00615746 0.00379396],116.4,1.983550223186322,0,0.7111111111111111
5.0,-0.6135244812208034,[-1.07314731  0.00224225  0.00180527],[1.45463989 0.00472759 0.00266747],-116.4,1.6108439184503334,0,0.7222222222222222
5.0,-0.6135244812208034,[-1.05323193  0.00230224  0.00183517],[1.79238441 0.00539954 0.00269125],116.4,1.65958879245038,0,0.7333333333333333
5.0,-0.025458663635885715,[-1.03386493  0.0023554   0.00185707],[1.74303024 0.00478366 0.00197123],-17.009898214040017,1.8013765447154828,0,0.7444444444444445
5.0,-0.025458663635885715,[-1.01742384  0.00239649  0.00187021],[1.47969800e+00 3.69833851e-03 1.18210267e-03],-90.7551606599724,1.4693273873058594,0,0.7555555555555555
5.0,-0.025458663635885715,[-0.99723003  0.00244243  0.00188037],[1.81744289e+00 4.13475541e-03 9.15103660e-04],116.4,2.27402933480913,0,0.7666666666666667
5.0,0.12413264238980465,[-0.98078893  0.00247655  0.00188437],[1.47969944e+00 3.07126065e-03 3.59282315e-04],-116.4,1.3018772406822194,0,0.7777777777777778
5.0,0.12413264238980465,[-0.9605951   0.00251512  0.00188501],[1.81744428e+00 3.47105619e-03 5.76129050e-05],116.4,1.9052433650390104,0,0.7888888888888889
